file_version=91;template_version=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mux Usage,Port,Used?,ID,,Used Port List,LVDS Pair Port,SIUL MSCR#,MSCR SSS,Function,Module,Description,Direction,Type,LP,SCP,Max Signal Frequency [MHz],BGA516,Pad Internal Supply Rail,Pad Reset State,Reserved pins,Application,Block Status,Default,OERC,ODC,SMC,APC,ILS,IBE,HYS,WPDE,WPUE,INV,FILPRES,FILBYPASS,PIN SSS,I/O PIN MSCR#,pin MSCR,PORT INV,PORT SSS,PORT MSCR_MUX,Input Muxing MSCR#,Pin Used?
,PD[10],no,1431,,0,,608,00000010,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Medium-Weak,,,,AE18,VDD_HV_IO_MAIN1,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,58,NOT_INVERTED,2,00000002,608,NO
,PE[10],no,1852,,0,,608,00000101,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Strong-Medium-Weak,,,,G19,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,74,NOT_INVERTED,5,00000005,608,NO
,PF[2],no,2018,,0,,608,00000111,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F9,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,82,NOT_INVERTED,7,00000007,608,NO
,PF[5],no,2179,,0,,608,00000110,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Strong-Medium-Weak,,,,F10,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,85,NOT_INVERTED,6,00000006,608,YES
,PF[14],no,2427,,0,,608,00000011,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Very Strong-Strong-Medium-Weak,LP,,,N25,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,94,NOT_INVERTED,3,00000003,608,YES
,PH[12],no,2856,,0,,608,00001001,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Strong-Medium-Weak,,,,G9,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,124,NOT_INVERTED,9,00000009,608,NO
,PH[13],no,2908,,0,,608,00001000,IND_INJECTION_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Injected Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F8,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,125,NOT_INVERTED,8,00000008,608,NO
,PA[0],no,25,,0,,609,00000100,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Strong-Medium-Weak,LP,,,F22,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,0,NOT_INVERTED,4,00000004,609,YES
,PC[1],no,514,,0,,609,00000001,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Medium-Weak,,,,M7,VDD_HV_IO_MAIN2,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,33,NOT_INVERTED,1,00000001,609,NO
,PD[10],no,1432,,0,,609,00000010,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Medium-Weak,,,,AE18,VDD_HV_IO_MAIN1,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,58,NOT_INVERTED,2,00000002,609,NO
,PE[10],no,1853,,0,,609,00000101,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Strong-Medium-Weak,,,,G19,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,74,NOT_INVERTED,5,00000005,609,NO
,PF[2],no,2019,,0,,609,00000111,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F9,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,82,NOT_INVERTED,7,00000007,609,NO
,PF[5],no,2180,,0,,609,00000110,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Strong-Medium-Weak,,,,F10,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,85,NOT_INVERTED,6,00000006,609,YES
,PF[14],no,2428,,0,,609,00000011,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Very Strong-Strong-Medium-Weak,LP,,,N25,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,94,NOT_INVERTED,3,00000003,609,YES
,PH[12],no,2857,,0,,609,00001001,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Strong-Medium-Weak,,,,G9,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,124,NOT_INVERTED,9,00000009,609,NO
,PH[13],no,2909,,0,,609,00001000,IND_START_TRG,ADC SAR 12b 0,ADC SAR 12b 0 Normal Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F8,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,125,NOT_INVERTED,8,00000008,609,NO
,PG[12],yes,2562,,PG[12],,-,-,AN[10],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 10,pi,,,,,AE13,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 1 Analog Channel 10,REF2V5,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,108,NOT_INVERTED,,,-,NO
,PG[11],no,2558,,0,,-,-,AN[11],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 11,pi,,,,,AD12,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,107,NOT_INVERTED,,,-,NO
,PG[10],no,2554,,0,,-,-,AN[12],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 12,pi,,,,,AA12,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,106,NOT_INVERTED,,,-,NO
,PG[9],no,2550,,0,,-,-,AN[13],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 13,pi,,,,,AD11,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,105,NOT_INVERTED,,,-,NO
,PK[11],no,3613,,0,,-,-,AN[14],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 14,pi,,,,,AB11,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,171,NOT_INVERTED,,,-,NO
,PK[9],no,3607,,0,,-,-,AN[15],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 15,pi,,,,,AA11,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,169,NOT_INVERTED,,,-,NO
,PE[15],yes,1935,,PE[15],,-,-,AN[8],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 8,pi,,,,,AD13,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 1 Analog Channel 8,PUMP_ISENSE_U,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,79,NOT_INVERTED,,,-,NO
,PK[10],yes,3610,,PK[10],,-,-,AN[9],ADC SAR 12b 1,ADC SAR 12b 1 Analog Channel 9,pi,,,,,AB12,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 1 Analog Channel 9,TMR_COS,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,170,NOT_INVERTED,,,-,NO
,PA[0],no,26,,0,,610,00000100,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Strong-Medium-Weak,LP,,,F22,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,0,NOT_INVERTED,4,00000004,610,YES
,PC[1],no,515,,0,,610,00000001,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Medium-Weak,,,,M7,VDD_HV_IO_MAIN2,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,33,NOT_INVERTED,1,00000001,610,NO
,PD[10],no,1433,,0,,610,00000010,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Medium-Weak,,,,AE18,VDD_HV_IO_MAIN1,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,58,NOT_INVERTED,2,00000002,610,NO
,PE[10],no,1854,,0,,610,00000101,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Strong-Medium-Weak,,,,G19,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,74,NOT_INVERTED,5,00000005,610,NO
,PF[2],no,2020,,0,,610,00000111,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F9,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,82,NOT_INVERTED,7,00000007,610,NO
,PF[5],no,2181,,0,,610,00000110,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Strong-Medium-Weak,,,,F10,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,85,NOT_INVERTED,6,00000006,610,YES
,PF[14],no,2429,,0,,610,00000011,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Very Strong-Strong-Medium-Weak,LP,,,N25,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,94,NOT_INVERTED,3,00000003,610,YES
,PH[12],no,2858,,0,,610,00001001,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Strong-Medium-Weak,,,,G9,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,124,NOT_INVERTED,9,00000009,610,NO
,PH[13],no,2910,,0,,610,00001000,IND_INJECTION_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Injected Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F8,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,125,NOT_INVERTED,8,00000008,610,NO
,PA[0],no,27,,0,,611,00000100,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Strong-Medium-Weak,LP,,,F22,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,0,NOT_INVERTED,4,00000004,611,YES
,PC[1],no,516,,0,,611,00000001,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Medium-Weak,,,,M7,VDD_HV_IO_MAIN2,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,33,NOT_INVERTED,1,00000001,611,NO
,PD[10],no,1434,,0,,611,00000010,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Medium-Weak,,,,AE18,VDD_HV_IO_MAIN1,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,58,NOT_INVERTED,2,00000002,611,NO
,PE[10],no,1855,,0,,611,00000101,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Strong-Medium-Weak,,,,G19,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,74,NOT_INVERTED,5,00000005,611,NO
,PF[2],no,2021,,0,,611,00000111,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F9,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,82,NOT_INVERTED,7,00000007,611,NO
,PF[5],no,2182,,0,,611,00000110,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Strong-Medium-Weak,,,,F10,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,85,NOT_INVERTED,6,00000006,611,YES
,PF[14],no,2430,,0,,611,00000011,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Very Strong-Strong-Medium-Weak,LP,,,N25,VDD_HV_IO_LP,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,94,NOT_INVERTED,3,00000003,611,YES
,PH[12],no,2859,,0,,611,00001001,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Strong-Medium-Weak,,,,G9,VDD_HV_IO_MAIN3,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,124,NOT_INVERTED,9,00000009,611,NO
,PH[13],no,2911,,0,,611,00001000,IND_START_TRG,ADC SAR 12b 1,ADC SAR 12b 1 Normal Conversion Trigger,i,Strong-Medium-Weak,,SCP,,F8,VDD_HV_IO_MAIN0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,125,NOT_INVERTED,8,00000008,611,NO
,PR[2],no,4638,,0,,-,-,AN[80],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 80,pi,,,,,AJ5,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,242,NOT_INVERTED,,,-,NO
,PR[3],no,4642,,0,,-,-,AN[81],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 81,pi,,,,,AK5,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,243,NOT_INVERTED,,,-,NO
,PR[4],no,4647,,0,,-,-,AN[82],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 82,pi,,,,,AJ4,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,244,NOT_INVERTED,,,-,NO
,PR[5],yes,4652,,PR[5],,-,-,AN[83],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 83,pi,,,,,AK4,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 10 Analog Channel 83,PUMP_ISENSE_W,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,245,NOT_INVERTED,,,-,NO
,PR[0],yes,4631,,PR[0],,-,-,AN[84],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 84,pi,,,,,AK7,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 10 Analog Channel 84,PUMP_VSENSE_B,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,240,NOT_INVERTED,,,-,NO
,PR[1],yes,4634,,PR[1],,-,-,AN[85],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 85,pi,,,,,AJ7,VDD_HV_IO_ADC0,Hi-Z,ADC SAR 12b 10 Analog Channel 85,REF2V5,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,241,NOT_INVERTED,,,-,NO
,PX[12],no,5543,,0,,-,-,AN[86],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 86,pi,,,,,AJ6,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,332,NOT_INVERTED,,,-,YES
,PX[13],no,5547,,0,,-,-,AN[87],ADC SAR 12b 10,ADC SAR 12b 10 Analog Channel 87,pi,,,,,AK6,VDD_HV_IO_ADC0,Hi-Z,,,,,WEAK_DRIVE,DISABLED,DISABLE,DISABLE,AUTOMOTIVE,DISABLED,DISABLED,DISABLED,DISABLED,NOT_INVERTED,0,ENABLED,0,00000400,333,NOT_INVERTED,,,-,NO
